[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 1000 lines:
PM2        | 2025-11-03T02:25:45: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:45: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:47: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:47: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:47: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:48: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:48: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:48: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:49: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:49: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:49: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:51: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:51: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:51: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:52: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:52: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:52: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:54: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:54: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:54: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:55: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:55: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:55: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:56: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:56: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:56: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:58: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:58: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:58: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:59: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:59: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:59: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:01: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:01: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:01: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:02: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:02: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:02: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:04: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:04: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:04: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:05: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:05: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:05: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:06: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:06: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:06: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:08: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:08: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:08: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:09: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:09: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:09: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:10: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:10: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:10: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:12: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:12: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:12: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:13: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:13: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:13: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:26:15: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:26:15: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:26:15: PM2 log: App [baileys-api:0] online
